Paradigm,Class,OPDClass,StemPattern,LemmaPattern
ADVConj,ADVConj,adv conj,NONE,NONE
AVDDeg,AVDDeg,adv deg,NONE,NONE
ADVDisc,ADVDisc,adv disc,NONE,NONE
ADVDub,ADVDub,adv dub,NONE,NONE
ADVGram,ADVGram,adv gram,NONE,NONE
ADVInter,ADVInter,adv inter,NONE,NONE
ADVLoc,ADVLoc,adv loc,NONE,NONE
ADVMan,ADVMan,adv man,NONE,NONE
ADVNeg,ADVNeg,adv neg,NONE,NONE
ADVPred,ADVPred,adv pred,NONE,NONE
ADVQnt,ADVQnt,adv qnt,NONE,NONE
ADVTmp,ADVTmp,adv tmp,NONE,NONE
