Paradigm,Class,OPDClass,StemPattern,LemmaPattern
PRONDem,PRONDem,pron dem,NONE,NONE
PRONDub,PRONDub,pron dub,NONE,NONE
PRONIndf,PRONIndf,pron indf,NONE,NONE
PRONInter,PRONInter,pron inter,NONE,NONE
PRONPer,PRONPer,pron per,NONE,NONE
PRONPret,PRONPret,pron pret,NONE,NONE
PRONPsl,PRONPsl,pron psl,NONE,NONE
PRONSim,PRONSim,pron sim,NONE,NONE
