Lemma,Stem,Paradigm,Class,Translation,Source
aabito-diba'igan,aabito-diba'igan,NUM,NUM,half an hour; half past,OPD-Sentences
ashi-naano-diba'iganens,ashi-naano-diba'iganens,NUM,NUM,five minutes,OPD-Sentences
ashi-nising,ashi-nising,NUM,NUM,thirteen,OPD-Sentences
naanimidano,naanimidanow2,NUM,NUM,fifty,OPD-Sentences
nenaanimidano,nenaanimidanow2,NUM,NUM,fifty,OPD-Sentences
neningodozid,neningodozid,NUM,NUM,foot-by-foot,OPD-Sentences
niishtana-shi-naanan,niishtana-shi-naanan,NUM,NUM,twenty-five,OPD-Sentences
