Lemma,Stem,Paradigm,Class,Translation,Source
ojaanimi,ojaanimiw2,PVLex,PVLex,"busy; noisy",https://ojibwe.lib.umn.edu/main-entry/ojaanimi-pv-lex
bezhigo,bezhigow2,PVQnt,PVQnt,"one",https://ojibwe.lib.umn.edu/main-entry/bezhigo-pv-qnt
de,de,PVLex,PVLex,"sufficient; suitable; enough",https://ojibwe.lib.umn.edu/main-entry/de-pv-lex
agiji,agijiw2,PVLex,PVLex,"on top, on top of",https://ojibwe.lib.umn.edu/main-entry/agiji-pv-lex
aabiji,aabijiw2,PVLex,PVLex,"continually; constantly",https://ojibwe.lib.umn.edu/main-entry/aabiji-pv-lex
niiwo,niiwow2,PVQnt,PVQnt,"four",https://ojibwe.lib.umn.edu/main-entry/niiwo-pv-qnt
ozhaashi,ozhaashiw2,PVLex,PVLex,"slippery",https://ojibwe.lib.umn.edu/main-entry/ozhaashi-pv-lex
makade,makade,PVLex,PVLex,"dark (color); black",https://ojibwe.lib.umn.edu/main-entry/makade-pv-lex
giimooji,giimoojiw2,PVLex,PVLex,"secretly, in secret, stealthily",https://ojibwe.lib.umn.edu/main-entry/giimooji-pv-lex
bagwaji,bagwajiw2,PVLex,PVLex,"wild",https://ojibwe.lib.umn.edu/main-entry/bagwaji-pv-lex
ashi-bezhigo,ashi-bezhigow2,PVQnt,PVQnt,"",https://ojibwe.lib.umn.edu/main-entry/ashi-bezhigo-pv-qnt
ishpi,ishpiw2,PVLex,PVLex,"high; advanced into a time",https://ojibwe.lib.umn.edu/main-entry/ishpi-pv-lex
besho,beshow2,PVLex,PVLex,"close, near; short [of a season]",https://ojibwe.lib.umn.edu/main-entry/besho-pv-lex
gimooji,gimoojiw2,PVLex,PVLex,"",https://ojibwe.lib.umn.edu/main-entry/gimooji-pv-lex
aako,aakow2,PVLex,PVLex,"extremely; intensely; agressively",https://ojibwe.lib.umn.edu/main-entry/aako-pv-lex
desi,desiw2,PVLex,PVLex,"flat",https://ojibwe.lib.umn.edu/main-entry/desi-pv-lex
agaami,agaamiw2,PVLex,PVLex,"on the other side of; across",https://ojibwe.lib.umn.edu/main-entry/agaami-pv-lex
mishi,mishiw2,PVLex,PVLex,"a giant",https://ojibwe.lib.umn.edu/main-entry/mishi-pv-lex
ishwaaso,ishwaasow2,PVQnt,PVQnt,"eight",https://ojibwe.lib.umn.edu/main-entry/ishwaaso-pv-qnt
niibaa,niibaa,PVLex,PVLex,"at night",https://ojibwe.lib.umn.edu/main-entry/niibaa-pv-lex
dago,dagow2,PVLex,PVLex,"in a place with",https://ojibwe.lib.umn.edu/main-entry/dago-pv-lex
