Lemma,Stem,Paradigm,Class,Translation,Source
babaamidaabiiba'idiwag,babaamidaabiiba'idi,VAI,VAI_rcp,"they pull each other around on a sled",https://ojibwe.lib.umn.edu/main-entry/babaamidaabiiba-idiwag-vai
aazhawaatebii'amaw,aazhawaatebii'amaw,VTA,VTA_aw,"e-mail h/",https://ojibwe.lib.umn.edu/main-entry/aazhawaatebii-amaw-vta
baapaazagobidoon,baapaazagobid,VTI,VTI_oo,"",https://ojibwe.lib.umn.edu/main-entry/baapaazagobidoon-vti
asho-wiidige,asho-wiidige,VAI,VAI_VV,"s/he is engaged",https://ojibwe.lib.umn.edu/main-entry/asho-wiidige-vai
makadeke,makadeke,VAI,VAI_VV,"s/he blackens h/ face with charcoal (as when fasting for a vision)",https://ojibwe.lib.umn.edu/main-entry/makadeke-vai
dakaabaawazh,dakaabaawan1,VTA,VTA_n,"cool h/ with water",https://ojibwe.lib.umn.edu/main-entry/dakaabaawazh-vta
agwaakwa'an,agwaakwa',VTI,VTI_am,"nail it up against the wall; post it up",https://ojibwe.lib.umn.edu/main-entry/agwaakwa-an-vti
maadaaso,maadaaso,VAI,VAI_V,"s/he starts shining",https://ojibwe.lib.umn.edu/main-entry/maadaaso-vai
gwekaanimad,gwekaanimad,VII,VII_d,"the wind shifts, changes direction",https://ojibwe.lib.umn.edu/main-entry/gwekaanimad-vii
waagaashi,waagaashi,VAI,VAI_V,"s/he or it (animate) bends in the wind",https://ojibwe.lib.umn.edu/main-entry/waagaashi-vai
niigaanishim,niigaanishim,VTA,VTA_C,"set h/ in front",https://ojibwe.lib.umn.edu/main-entry/niigaanishim-vta
bagoneyaanike,bagoneyaanike,VAI,VAI_VV,"s/he digs a hole or trench",https://ojibwe.lib.umn.edu/main-entry/bagoneyaanike-vai
giizhaakonan,giizhaakon,VTI,VTI_am,"finish deciding about, judging, or planning it",https://ojibwe.lib.umn.edu/main-entry/giizhaakonan-vti
daashkishim,daashkishim,VTA,VTA_C,"drop and split h/",https://ojibwe.lib.umn.edu/main-entry/daashkishim-vta
biinzaabandan,biinzaaband,VTI,VTI_am,"look in at or into, peek in at it",https://ojibwe.lib.umn.edu/main-entry/biinzaabandan-vti
wiimbaabikizi,wiimbaabikizi,VAI,VAI_V,"it (animate; mineral) is hollow, has a cavity",https://ojibwe.lib.umn.edu/main-entry/wiimbaabikizi-vai
angotoon,angot,VTI,VTI_oo,"reduce it to nothing",https://ojibwe.lib.umn.edu/main-entry/angotoon-vti2
baasizo,baasizo,VAI,VAI_V,"s/he cracks, shatters (from heat)",https://ojibwe.lib.umn.edu/main-entry/baasizo-vai
zagaakwa'wi,zagaakwa'w1,VTA,VTA_Cw,"",https://ojibwe.lib.umn.edu/main-entry/zagaakwa-wi-vta
bagaskidiye',bagaskidiye'w1,VTA,VTA_Cw,"slap h/ on the rear",https://ojibwe.lib.umn.edu/main-entry/bagaskidiye-vta
