Lemma,Stem,Paradigm,Class,Translation,Source
eyedawi,eyedawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/eyedawi-pv-lex
gaaski,gaaskiw2,PNLex,PNLex,NONE,UnpublishedOPD
gabe,gabe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gabe-pv-lex
gaagige,gaagige,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gaagige-pv-lex
gagwe,gagwe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gagwe-pv-lex
gete,gete,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gete-pv-lex
gakaki,gakakiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gakaki-pv-lex
gashki,gashkiw2,PNLex,PNLex,NONE,UnpublishedOPD
gagweji,gagwejiw2,PNLex,PNLex,NONE,UnpublishedOPD
geziko,gezikow2,PNLex,PNLex,NONE,UnpublishedOPD
giimooji,giimoojiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/giimooji-pv-lex
giizhi,giizhiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/giizhi-pv-lex
gegabe,gegabe,PNLex,PNLex,NONE,UnpublishedOPD
gichi,gichiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gichi-pv-lex
giizhii,giizhii,PNLex,PNLex,NONE,UnpublishedOPD
gagwaanisagi,gagwaanisagiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gagwaanisagi-pv-lex
ginibi,ginibiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ginibi-pv-lex
ingodwaaso,ingodwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-pv-qnt
goji,gojiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/goji-pv-lex
ishkwaa,ishkwaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ishkwaa-pv-lex
ingo,ingow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-pv-qnt
gwiinawi,gwiinawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gwiinawi-pv-lex
ishwaaso,ishwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-pv-qnt
ishpi,ishpiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ishpi-pv-lex
jaagi,jaagiw2,PNLex,PNLex,NONE,UnpublishedOPD
jiigi,jiigiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/jiigi-pv-lex
maajii,maajii,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/maajii-pv-lex
jiigewe,jiigewe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/jiigewe-pv-lex
maamawoo,maamawoo,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/maamawoo-pv-lex
maazhi,maazhiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/maazhi-pv-lex
madaabii,madaabii,PNLex,PNLex,NONE,UnpublishedOPD
maji,majiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/maji-pv-lex
manaa,manaa,PNLex,PNLex,NONE,UnpublishedOPD
megwe,megwe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/megwe-pv-lex
megwaa,megwaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/megwaa-pv-lex
mayagi,mayagiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/mayagi-pv-lex
makade,makade,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/makade-pv-lex
madwe,madwe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/madwe-pv-lex
misko,miskow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/misko-pv-lex
miikawaaji,miikawaajiw2,PNLex,PNLex,NONE,UnpublishedOPD
mino,minow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/mino-pv-lex
midaaso,midaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-pv-qnt
