Lemma,Stem,Paradigm,Class,Translation,Source
gewiinawaa,gewiinawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gewiinawaa-pron-per
giinitam,giinitam,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinitam-pron-per
o'ow,o'ow,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/o-ow-pron-dem
giinawind,giinawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinawind-pron-per
awegonen,awegonen,PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/awegonen-pron-inter
wa'a,wa'aw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/wa-a-pron-dem
awegwen,awegwen,PRONDub,PRONDub,NONE,https://ojibwe.lib.umn.edu/main-entry/awegwen-pron-dub
anooj gegoo,anooj gegoo,PRONIndf,PRONIndf,NONE,https://ojibwe.lib.umn.edu/main-entry/anooj-gegoo-pron-indf
igiwedi,igiwediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/igiwedi-pron-dem
geniin,geniin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/geniin-pron-per
awegonesh,awegonesh,PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/awegonesh-pron-inter
wiinitamawaa,wiinitamawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/wiinitamawaa-pron-per
igiweg,igiweg,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/igiweg-pron-dem
iniw,iniw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iniw-pron-dem-7087de27-2cf7-4881-9629-f61aa383309e
wegonen (+ -onji-),wegonen (+ -onji-),PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/wegonen-onji-pron-inter
owedi,owediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/owedi-pron-dem
wegonen,wegonen,PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/wegonen-pron-inter
