Lemma,Stem,Paradigm,Class,Translation,Source
aazhookana,aazhookanaw2,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/aazookana-adv-loc
aazhawikana,aazhawikanaw2,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/aazhawikana-adv-loc
waakwaandesiing,waakwaandesiing,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/waakwaandesiing-adv-loc
awasinaago,awasinaagow2,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/awasinaago-adv-tmp
naaningim,naaningim,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/naaningim-adv-tmp
zhebaa,zhebaa,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
awasi-baawitig,awasi-baawitig,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/awasi-baawitig-adv-loc
onzaam niibiwa,onzaam niibiwaw2,ADVQnt,ADVQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/onzaam-niibiwa-adv-qnt
biinjipwaagan,biinjipwaagan,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/biinjipwaagan-adv-loc
mishawashkode,mishawashkodew,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/mishawashkode-ni
niibinong,niibinong,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/niibinong-adv-tmp
eyiidawaya'ii,eyiidawaya'ii,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/eyiidawaya-ii-adv-loc
apane,apane,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/apane-adv-tmp
gaawiin wiikaa,gaawiin wiikaa,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/gaawiin-wiikaa-adv-tmp
namanjaya'ii,namanjaya'ii,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/namanjaya-ii-adv-loc
maamakaaj,maamakaaj,ADVMan,ADVMan,NONE,https://ojibwe.lib.umn.edu/main-entry/maamakaaj-adv-man
gaawiin ganage,gaawiin ganage,ADVMan,ADVMan,NONE,https://ojibwe.lib.umn.edu/main-entry/gaawiin-ganage-adv-man
agaaming,agaaming,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/agaaming-adv-loc
memindage,memindage,ADVMan,ADVMan,NONE,https://ojibwe.lib.umn.edu/main-entry/memindage-adv-man
jiigaakwaa,jiigaakwaa,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/jiigaakwaa-adv-loc
aabitawagaam,aabitawagaam,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/aabitawagaam-adv-loc
aandi go,aandi gow2,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/aandi-go-adv-loc
naagaj,naagaj,ADVQnt,ADVQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/naagaj-adv-qnt
eyiidawizid,eyiidawizid,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/eyiidawizid-adv-loc
zhaangaching,zhaangaching,ADVQnt,ADVQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/zhaangaching-adv-qnt
dibinawe,dibinawe,ADVMan,ADVMan,NONE,https://ojibwe.lib.umn.edu/main-entry/dibinawe-adv-man
gabe-ishkwaa-naawakwe,gabe-ishkwaa-naawakwe,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/gabe-ishkwaa-naawakwe-adv-tmp
mishawagaam,mishawagaam,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/mishawagaam-adv-loc
awasi-dibikong,awasi-dibikong,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/awasi-dibikong-adv-tmp
inagakeyaa,inagakeyaa,AVDDeg,AVDDeg,NONE,https://ojibwe.lib.umn.edu/main-entry/inagakeyaa-adv-deg
ziigwanong,ziigwanong,ADVTmp,ADVTmp,NONE,https://ojibwe.lib.umn.edu/main-entry/ziigwanong-adv-tmp
eyiidawayi'ii,eyiidawayi'ii,ADVLoc,ADVLoc,NONE,https://ojibwe.lib.umn.edu/main-entry/eyiidawayi-ii-adv-loc
amanj igo apii,amanj igo apii,ADVDub,ADVDub,NONE,https://ojibwe.lib.umn.edu/main-entry/amanj-igo-apii-adv-dub
