Lemma,Stem,Paradigm,Class,Translation,Source
ashi-bezhig,ashi-bezhig,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-bezhig-adv-num
ashi-bezhigo-diba'igan,ashi-bezhigo-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-bezhigo-diba-igan-adv-num
ashi-ingodwaaswi,ashi-ingodwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-ingodwaaswi-adv-num
ashi-ishwaaswi,ashi-ishwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-ishwaaswi-adv-num
ashi-naanan,ashi-naanan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-naanan-adv-num
ashi-niiwin,ashi-niiwin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niiwin-adv-num
ashi-niizh,ashi-niizh,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niizh-adv-num
ashi-niizhwaaswi,ashi-niizhwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niizhwaaswi-adv-num
ashi-ningodwaaswi,ashi-ningodwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-ningodwaaswi-adv-num
ashi-nishwaaswi,ashi-nishwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-nishwaaswi-adv-num
ashi-niswi,ashi-niswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niswi-adv-num
bezhigominag,bezhigominag,NUM,NUM,NONE,UnpublishedOPD
bezhigwaatig,bezhigwaatig,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/bezhigwaatig-adv-num
bezhigweg,bezhigweg,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/bezhigweg-adv-num
bebezhig,bebezhig,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/bebezhig-adv-num
bebezhigweg,bebezhigweg,NUM,NUM,NONE,UnpublishedOPD
bezhig,bezhig,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/bezhig-adv-num
dasookik,dasookik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasookik-adv-num
dasoonag,dasoonag,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasoonag-adv-num
dasooshkimod,dasooshkimod,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasooshkimod-adv-num
dasooshkin,dasooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasooshkin-adv-num
dasosagoons,dasosagoons,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasosagoons-adv-num
dasozid,dasozid,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasozid-adv-num
daso-anama'e-giizhigad,daso-anama'e-giizhigad,NUM,NUM,NONE,UnpublishedOPD
daso-anama'e-giizhik,daso-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-anama-e-giizhik-adv-num
daswaabik,daswaabik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daswaabik-adv-num
daswaak,daswaak,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daswaak-adv-num
daso-biboon,daso-biboon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-biboon-adv-num
daswaatig,daswaatig,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daswaatig-adv-num
dasweg,dasweg,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasweg-adv-num
dasweginigan,dasweginigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasweginigan-adv-num
daswemikwaanens,daswemikwaanens,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daswemikwaanens-adv-num
daswewaan,daswewaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daswewaan-adv-num
daso-diba'iminaan,daso-diba'iminaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-diba-iminaan-adv-num
daso-diba'oobaan,daso-diba'oobaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-diba-oobaan-adv-num
daso-dibaabiishkoojigan,daso-dibaabiishkoojigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-dibaabiishkoojigan-adv-num
daswi,daswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daswi-adv-num
daso-dibik,daso-dibik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-dibik-adv-num
daso-giizhik,daso-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-giizhik-adv-num
daso-giizis,daso-giizis,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-giizis-adv-num
daso-minikwaajigan,daso-minikwaajigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-minikwaajigan-adv-num
daso-mininj,daso-mininj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-mininj-adv-num
daso-mizid,daso-mizid,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-mizid-adv-num
dasodaabaan,dasodaabaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasodaabaan-adv-num
dasogamig,dasogamig,NUM,NUM,NONE,UnpublishedOPD
dasogon,dasogon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasogon-adv-num
dasominag,dasominag,NUM,NUM,NONE,UnpublishedOPD
dasonaagaans,dasonaagaans,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasonaagaans-adv-num
dasonaaganens,dasonaaganens,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasonaaganens-adv-num
dasoninj,dasoninj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/dasoninj-adv-num
eyishwaaswi,eyishwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/eyishwaaswi-adv-num
daso-diba'igaans,daso-diba'igaans,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-diba-igaans-adv-num
daso-diba'igan,daso-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/daso-diba-igan-adv-num
ingodookik,ingodookik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodookik-adv-num
ingodoonag,ingodoonag,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodoonag-adv-num
ingodooshkin,ingodooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodooshkin-adv-num
ingodosagoons,ingodosagoons,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodosagoons-adv-num
ingodozid,ingodozid,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodozid-adv-num
ingodwaak,ingodwaak,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaak-adv-num
ingodwaasimidana,ingodwaasimidanaw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasimidana-adv-num
ingodwaaso-anama'e-giizhik,ingodwaaso-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-anama-e-giizhik-adv-num
ingodwaaso-biboon,ingodwaaso-biboon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-biboon-adv-num
ingodwaaso-diba'igaans,ingodwaaso-diba'igaans,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-diba-igaans-adv-num
ingodwaaso-dibaabiishkoojigan,ingodwaaso-dibaabiishkoojigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-dibaabiishkoojigan-adv-num
ishwaasookik,ishwaasookik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasookik-adv-num
ishwaasoonag,ishwaasoonag,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasoonag-adv-num
ingodwaaso-dibik,ingodwaaso-dibik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-dibik-adv-num
ishwaasooshkin,ishwaasooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasooshkin-adv-num
