Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source,
NI,NI_C,waapijiibizoneyaab,waapijiibizoneyaaby,NONE,NONE,NONE,NONE,NONE,Pl,waapijiibizoneyaabiin,,,
NI,NI_C,waasamoo-jiimaanens,waasamoo-jiimaanens,NONE,NONE,NONE,NONE,NONE,Sg,waasamoo-jiimaanens,,,
NI,NI_C,waasamoo-jiimaanens,waasamoo-jiimaanens,NONE,NONE,NONE,NONE,NONE,Pl,waasamoo-jiimaanensan,,,
NA,NA_C,waasiingwaagan,waasiingwaagan,NONE,NONE,NONE,NONE,NONE,ProxSg,waasiingwaagan,,,
NA,NA_C,waasiingwaagan,waasiingwaagan,NONE,NONE,NONE,NONE,NONE,ProxPl,waasiingwaaganag,,,
NA,NA_C,waasiingwaagan,waasiingwaagan,NONE,Dim,NONE,NONE,NONE,ProxSg,waasiingwaaganens,,,
NA,NA_Vw,waasamoo-anokiiwinini,waasamoo-anokiiwininiw,NONE,NONE,NONE,NONE,NONE,ProxPl,waasamoo-anokiiwininiwag,,,
NI,NI_C,waapijiibizon,waapijiibizon,NONE,NONE,NONE,NONE,NONE,Sg,waapijiibizon,,,
NI,NI_C,waapijiibizon,waapijiibizon,NONE,NONE,NONE,NONE,NONE,Pl,waapijiibizonan,,,
NI,NI_Cw,babagiwayaanegamigwegin,babagiwayaanegamigweginw,NONE,NONE,NONE,NONE,NONE,Pl,babagiwayaanegamigweginoon,,,
NA,NA_VVny,waawaabiganoojiinh,waawaabiganoojiinhy,NONE,NONE,NONE,NONE,NONE,ProxSg,waawaabiganoojiinh,,,
NA,NA_VVny,waawaabiganoojiinh,waawaabiganoojiinhy,NONE,NONE,NONE,NONE,NONE,ProxPl,waawaabiganoojiinyag,,,
NA,NA_VVny,waawaabiganoojiinh,waawaabiganoojiinhy,NONE,Dim,NONE,NONE,NONE,ProxSg,waawaabiganoojiins,,,
NI,NI_C,babagiwayaanekizin,babagiwayaanekizin,NONE,NONE,NONE,NONE,NONE,Sg,babagiwayaanekizin,,,
NI,NI_C,babagiwayaanekizin,babagiwayaanekizin,NONE,NONE,NONE,NONE,NONE,Pl,babagiwayaanekizinan,,,
NI,NI_C,babagiwayaanekizin,babagiwayaanekizin,NONE,Dim,NONE,NONE,NONE,Sg,babagiwayaanekizinens,,,
NI,NI_C,babagiwayaanekizin,babagiwayaanekizin,NONE,NONE,NONE,NONE,NONE,Loc,babagiwayaanekizining,,,
