Lemma,Stem,Paradigm,Class,Translation,Source
Adisinaake-manoominikaaning,Adisinaake-manoominikaaning,NamePlace,NamePlace,Dean Lake,PortageLake-p217
Bapashkwaaminisensing,Bapashkwaaminisensing,NamePlace,NamePlace,name of a stream of the west shore of Mille Lacs Lake between Vineland and Garrison,PortageLake-p226
Biiwaabikokaaning,Biiwaabikokaaning,NamePlace,NamePlace,"Crosby-Ironton, MN",PortageLake-p230
Eshkwegamaag,Eshkwegamaag,NamePlace,NamePlace,Lake Onamia,PortageLake-p234
Gabekanaansing,Gabekanaansing,NamePlace,NamePlace,Portage Lake,PortageLake-p235
Gakaabikaang,Gakaabikaang,NamePlace,NamePlace,Minneapolis,PortageLake-p236
